store_id,date,category,total_units_sold,active_product_count,data_version
S001,2022-01-23,Clothing,363,3,v1
S001,2022-01-23,Electronics,255,3,v1
S001,2022-01-23,Furniture,163,4,v1
S001,2022-01-23,Groceries,492,5,v1
S001,2022-01-23,Toys,300,4,v1
S001,2022-01-23,all,1573,19,v1
S001,2022-01-24,Clothing,280,3,v1
S001,2022-01-24,Electronics,133,3,v1
S001,2022-01-24,Furniture,285,4,v1
S001,2022-01-24,Groceries,533,6,v1
S001,2022-01-24,Toys,264,4,v1
S001,2022-01-24,all,1495,20,v1
S001,2022-01-25,Clothing,272,3,v1
S001,2022-01-25,Electronics,192,3,v1
S001,2022-01-25,Furniture,266,4,v1
S001,2022-01-25,Groceries,607,6,v1
S001,2022-01-25,Toys,250,4,v1
S001,2022-01-25,all,1587,20,v1
S001,2022-01-26,Clothing,306,3,v1
S001,2022-01-26,Electronics,364,3,v1
S001,2022-01-26,Furniture,307,4,v1
S001,2022-01-26,Groceries,738,6,v1
S001,2022-01-26,Toys,279,4,v1
S001,2022-01-26,all,1994,20,v1
S001,2022-01-27,Clothing,299,3,v1
S001,2022-01-27,Electronics,299,3,v1
S001,2022-01-27,Furniture,295,4,v1
S001,2022-01-27,Groceries,751,6,v1
S001,2022-01-27,Toys,316,4,v1
S001,2022-01-27,all,1960,20,v1
S001,2022-01-28,Clothing,414,3,v1
S001,2022-01-28,Electronics,370,3,v1
S001,2022-01-28,Furniture,287,4,v1
S001,2022-01-28,Groceries,665,6,v1
S001,2022-01-28,Toys,313,4,v1
S001,2022-01-28,all,2049,20,v1
S001,2022-01-29,Clothing,295,3,v1
S001,2022-01-29,Electronics,246,3,v1
S001,2022-01-29,Furniture,342,4,v1
S001,2022-01-29,Groceries,733,6,v1
S001,2022-01-29,Toys,364,4,v1
S001,2022-01-29,all,1980,20,v1
S001,2022-01-30,Clothing,323,3,v1
S001,2022-01-30,Electronics,223,3,v1
S001,2022-01-30,Furniture,214,4,v1
S001,2022-01-30,Groceries,547,6,v1
S001,2022-01-30,Toys,362,4,v1
S001,2022-01-30,all,1669,20,v1
S001,2022-01-31,Clothing,311,3,v1
S001,2022-01-31,Electronics,261,3,v1
S001,2022-01-31,Furniture,186,4,v1
S001,2022-01-31,Groceries,635,6,v1
S001,2022-01-31,Toys,267,4,v1
S001,2022-01-31,all,1660,20,v1
S001,2022-02-01,Clothing,410,3,v1
S001,2022-02-01,Electronics,245,3,v1
S001,2022-02-01,Furniture,220,4,v1
S001,2022-02-01,Groceries,764,6,v1
S001,2022-02-01,Toys,377,4,v1
S001,2022-02-01,all,2016,20,v1
S001,2022-02-02,Clothing,432,3,v1
S001,2022-02-02,Electronics,319,3,v1
S001,2022-02-02,Furniture,306,4,v1
S001,2022-02-02,Groceries,485,6,v1
S001,2022-02-02,Toys,355,4,v1
S001,2022-02-02,all,1897,20,v1
S001,2022-02-03,Clothing,312,3,v1
S001,2022-02-03,Electronics,190,3,v1
S001,2022-02-03,Furniture,399,4,v1
S001,2022-02-03,Groceries,615,6,v1
S001,2022-02-03,Toys,328,4,v1
S001,2022-02-03,all,1844,20,v1
S001,2022-02-04,Clothing,303,3,v1
S001,2022-02-04,Electronics,203,3,v1
S001,2022-02-04,Furniture,367,4,v1
S001,2022-02-04,Groceries,748,6,v1
S001,2022-02-04,Toys,307,4,v1
S001,2022-02-04,all,1928,20,v1
S001,2022-02-05,Clothing,360,3,v1
S001,2022-02-05,Electronics,280,3,v1
S001,2022-02-05,Furniture,253,4,v1
S001,2022-02-05,Groceries,605,6,v1
S001,2022-02-05,Toys,293,4,v1
S001,2022-02-05,all,1791,20,v1
S001,2022-02-06,Clothing,429,3,v1
S001,2022-02-06,Electronics,233,3,v1
S001,2022-02-06,Furniture,376,4,v1
S001,2022-02-06,Groceries,799,6,v1
S001,2022-02-06,Toys,293,4,v1
S001,2022-02-06,all,2130,20,v1
S001,2022-02-07,Clothing,357,3,v1
S001,2022-02-07,Electronics,367,3,v1
S001,2022-02-07,Furniture,191,4,v1
S001,2022-02-07,Groceries,535,6,v1
S001,2022-02-07,Toys,305,4,v1
S001,2022-02-07,all,1755,20,v1
S001,2022-02-08,Clothing,361,3,v1
S001,2022-02-08,Electronics,255,3,v1
S001,2022-02-08,Furniture,340,4,v1
S001,2022-02-08,Groceries,470,6,v1
S001,2022-02-08,Toys,302,4,v1
S001,2022-02-08,all,1728,20,v1
S001,2022-02-09,Clothing,631,3,v1
S001,2022-02-09,Electronics,267,3,v1
S001,2022-02-09,Furniture,309,4,v1
S001,2022-02-09,Groceries,747,6,v1
S001,2022-02-09,Toys,257,4,v1
S001,2022-02-09,all,2211,20,v1
S001,2022-02-10,Clothing,369,3,v1
S001,2022-02-10,Electronics,275,3,v1
S001,2022-02-10,Furniture,349,4,v1
S001,2022-02-10,Groceries,809,6,v1
S001,2022-02-10,Toys,365,4,v1
S001,2022-02-10,all,2167,20,v1
S001,2022-02-11,Clothing,397,3,v1
S001,2022-02-11,Electronics,268,3,v1
S001,2022-02-11,Furniture,358,4,v1
S001,2022-02-11,Groceries,689,6,v1
S001,2022-02-11,Toys,341,4,v1
S001,2022-02-11,all,2053,20,v1
S001,2022-02-12,Clothing,321,3,v1
S001,2022-02-12,Electronics,288,3,v1
S001,2022-02-12,Furniture,344,4,v1
S001,2022-02-12,Groceries,686,6,v1
S001,2022-02-12,Toys,288,4,v1
S001,2022-02-12,all,1927,20,v1
S001,2022-02-13,Clothing,327,3,v1
S001,2022-02-13,Electronics,169,3,v1
S001,2022-02-13,Furniture,311,4,v1
S001,2022-02-13,Groceries,536,5,v1
S001,2022-02-13,Toys,393,4,v1
S001,2022-02-13,all,1736,19,v1
S001,2022-02-14,Clothing,349,3,v1
S001,2022-02-14,Electronics,185,3,v1
S001,2022-02-14,Furniture,339,4,v1
S001,2022-02-14,Groceries,592,6,v1
S001,2022-02-14,Toys,293,4,v1
S001,2022-02-14,all,1758,20,v1
S001,2022-02-15,Clothing,450,3,v1
S001,2022-02-15,Electronics,234,3,v1
S001,2022-02-15,Furniture,254,4,v1
S001,2022-02-15,Groceries,711,6,v1
S001,2022-02-15,Toys,319,4,v1
S001,2022-02-15,all,1968,20,v1
S001,2022-02-16,Clothing,253,3,v1
S001,2022-02-16,Electronics,230,3,v1
S001,2022-02-16,Furniture,340,4,v1
S001,2022-02-16,Groceries,687,6,v1
S001,2022-02-16,Toys,384,4,v1
S001,2022-02-16,all,1894,20,v1
S001,2022-02-17,Clothing,326,3,v1
S001,2022-02-17,Electronics,194,3,v1
S001,2022-02-17,Furniture,230,4,v1
S001,2022-02-17,Groceries,518,6,v1
S001,2022-02-17,Toys,432,4,v1
S001,2022-02-17,all,1700,20,v1
S001,2022-02-18,Clothing,234,3,v1
S001,2022-02-18,Electronics,328,3,v1
S001,2022-02-18,Furniture,373,4,v1
S001,2022-02-18,Groceries,876,6,v1
S001,2022-02-18,Toys,564,4,v1
S001,2022-02-18,all,2375,20,v1
S001,2022-02-19,Clothing,341,3,v1
S001,2022-02-19,Electronics,214,3,v1
S001,2022-02-19,Furniture,340,4,v1
S001,2022-02-19,Groceries,647,6,v1
S001,2022-02-19,Toys,446,4,v1
S001,2022-02-19,all,1988,20,v1
S001,2022-02-20,Clothing,412,3,v1
S001,2022-02-20,Electronics,359,3,v1
S001,2022-02-20,Furniture,308,4,v1
S001,2022-02-20,Groceries,685,6,v1
S001,2022-02-20,Toys,311,4,v1
S001,2022-02-20,all,2075,20,v1
S001,2022-02-21,Clothing,258,3,v1
S001,2022-02-21,Electronics,388,3,v1
S001,2022-02-21,Furniture,260,4,v1
S001,2022-02-21,Groceries,490,6,v1
S001,2022-02-21,Toys,298,4,v1
S001,2022-02-21,all,1694,20,v1
S001,2022-02-22,Clothing,197,3,v1
S001,2022-02-22,Electronics,179,3,v1
S001,2022-02-22,Furniture,324,4,v1
S001,2022-02-22,Groceries,659,6,v1
S001,2022-02-22,Toys,316,4,v1
S001,2022-02-22,all,1675,20,v1
S001,2022-02-23,Clothing,415,3,v1
S001,2022-02-23,Electronics,499,3,v1
S001,2022-02-23,Furniture,293,4,v1
S001,2022-02-23,Groceries,885,6,v1
S001,2022-02-23,Toys,451,4,v1
S001,2022-02-23,all,2543,20,v1
S001,2022-02-24,Clothing,363,3,v1
S001,2022-02-24,Electronics,140,2,v1
S001,2022-02-24,Furniture,323,4,v1
S001,2022-02-24,Groceries,573,5,v1
S001,2022-02-24,Toys,373,4,v1
S001,2022-02-24,all,1772,18,v1
S001,2022-02-25,Clothing,379,3,v1
S001,2022-02-25,Electronics,250,3,v1
S001,2022-02-25,Furniture,254,4,v1
S001,2022-02-25,Groceries,694,6,v1
S001,2022-02-25,Toys,311,4,v1
S001,2022-02-25,all,1888,20,v1
S001,2022-02-26,Clothing,410,3,v1
S001,2022-02-26,Electronics,256,3,v1
S001,2022-02-26,Furniture,355,4,v1
S001,2022-02-26,Groceries,637,6,v1
S001,2022-02-26,Toys,276,4,v1
S001,2022-02-26,all,1934,20,v1
S001,2022-02-27,Clothing,334,3,v1
S001,2022-02-27,Electronics,353,3,v1
S001,2022-02-27,Furniture,151,4,v1
S001,2022-02-27,Groceries,699,6,v1
S001,2022-02-27,Toys,439,4,v1
S001,2022-02-27,all,1976,20,v1
S001,2022-02-28,Clothing,233,3,v1
S001,2022-02-28,Electronics,205,3,v1
S001,2022-02-28,Furniture,251,4,v1
S001,2022-02-28,Groceries,609,6,v1
S001,2022-02-28,Toys,324,4,v1
S001,2022-02-28,all,1622,20,v1
S001,2022-03-01,Clothing,271,3,v1
S001,2022-03-01,Electronics,262,3,v1
S001,2022-03-01,Furniture,233,4,v1
S001,2022-03-01,Groceries,651,6,v1
S001,2022-03-01,Toys,429,4,v1
S001,2022-03-01,all,1846,20,v1
S001,2022-03-02,Clothing,372,3,v1
S001,2022-03-02,Electronics,193,3,v1
S001,2022-03-02,Furniture,313,4,v1
S001,2022-03-02,Groceries,479,6,v1
S001,2022-03-02,Toys,312,4,v1
S001,2022-03-02,all,1669,20,v1
S001,2022-03-03,Clothing,322,3,v1
S001,2022-03-03,Electronics,268,3,v1
S001,2022-03-03,Furniture,402,4,v1
S001,2022-03-03,Groceries,672,6,v1
S001,2022-03-03,Toys,385,4,v1
S001,2022-03-03,all,2049,20,v1
S001,2022-03-04,Clothing,243,3,v1
S001,2022-03-04,Electronics,233,3,v1
S001,2022-03-04,Furniture,376,4,v1
S001,2022-03-04,Groceries,597,6,v1
S001,2022-03-04,Toys,486,4,v1
S001,2022-03-04,all,1935,20,v1
S001,2022-03-05,Clothing,208,3,v1
S001,2022-03-05,Electronics,262,3,v1
S001,2022-03-05,Furniture,285,4,v1
S001,2022-03-05,Groceries,906,6,v1
S001,2022-03-05,Toys,412,4,v1
S001,2022-03-05,all,2073,20,v1
S001,2022-03-06,Clothing,359,3,v1
S001,2022-03-06,Electronics,312,3,v1
S001,2022-03-06,Furniture,255,4,v1
S001,2022-03-06,Groceries,556,6,v1
S001,2022-03-06,Toys,421,4,v1
S001,2022-03-06,all,1903,20,v1
S001,2022-03-07,Clothing,429,3,v1
S001,2022-03-07,Electronics,263,3,v1
S001,2022-03-07,Furniture,382,4,v1
S001,2022-03-07,Groceries,570,6,v1
S001,2022-03-07,Toys,446,4,v1
S001,2022-03-07,all,2090,20,v1
S001,2022-03-08,Clothing,485,3,v1
S001,2022-03-08,Electronics,204,3,v1
S001,2022-03-08,Furniture,273,4,v1
S001,2022-03-08,Groceries,582,6,v1
S001,2022-03-08,Toys,435,4,v1
S001,2022-03-08,all,1979,20,v1
S001,2022-03-09,Clothing,122,3,v1
S001,2022-03-09,Electronics,313,3,v1
S001,2022-03-09,Furniture,273,4,v1
S001,2022-03-09,Groceries,569,6,v1
S001,2022-03-09,Toys,438,4,v1
S001,2022-03-09,all,1715,20,v1
S001,2022-03-10,Clothing,333,3,v1
S001,2022-03-10,Electronics,236,3,v1
S001,2022-03-10,Furniture,233,4,v1
S001,2022-03-10,Groceries,513,6,v1
S001,2022-03-10,Toys,363,4,v1
S001,2022-03-10,all,1678,20,v1
S001,2022-03-11,Clothing,321,3,v1
S001,2022-03-11,Electronics,295,3,v1
S001,2022-03-11,Furniture,181,4,v1
S001,2022-03-11,Groceries,613,6,v1
S001,2022-03-11,Toys,396,4,v1
S001,2022-03-11,all,1806,20,v1
S001,2022-03-12,Clothing,433,3,v1
S001,2022-03-12,Electronics,179,2,v1
S001,2022-03-12,Furniture,272,4,v1
S001,2022-03-12,Groceries,674,6,v1
S001,2022-03-12,Toys,659,4,v1
S001,2022-03-12,all,2217,19,v1
S001,2022-03-13,Clothing,282,3,v1
S001,2022-03-13,Electronics,311,3,v1
S001,2022-03-13,Furniture,385,4,v1
S001,2022-03-13,Groceries,475,6,v1
S001,2022-03-13,Toys,530,4,v1
S001,2022-03-13,all,1983,20,v1
S001,2022-03-14,Clothing,353,3,v1
S001,2022-03-14,Electronics,255,3,v1
S001,2022-03-14,Furniture,160,4,v1
S001,2022-03-14,Groceries,548,6,v1
S001,2022-03-14,Toys,542,4,v1
S001,2022-03-14,all,1858,20,v1
S001,2022-03-15,Clothing,343,3,v1
S001,2022-03-15,Electronics,311,3,v1
S001,2022-03-15,Furniture,333,4,v1
S001,2022-03-15,Groceries,659,6,v1
S001,2022-03-15,Toys,332,4,v1
S001,2022-03-15,all,1978,20,v1
S001,2022-03-16,Clothing,293,3,v1
S001,2022-03-16,Electronics,290,3,v1
S001,2022-03-16,Furniture,294,4,v1
S001,2022-03-16,Groceries,616,6,v1
S001,2022-03-16,Toys,470,4,v1
S001,2022-03-16,all,1963,20,v1
S001,2022-03-17,Clothing,276,3,v1
S001,2022-03-17,Electronics,232,3,v1
S001,2022-03-17,Furniture,273,4,v1
S001,2022-03-17,Groceries,786,6,v1
S001,2022-03-17,Toys,380,4,v1
S001,2022-03-17,all,1947,20,v1
S001,2022-03-18,Clothing,174,3,v1
S001,2022-03-18,Electronics,266,3,v1
S001,2022-03-18,Furniture,278,4,v1
S001,2022-03-18,Groceries,496,6,v1
S001,2022-03-18,Toys,469,4,v1
S001,2022-03-18,all,1683,20,v1
S001,2022-03-19,Clothing,276,3,v1
S001,2022-03-19,Electronics,287,3,v1
S001,2022-03-19,Furniture,304,4,v1
S001,2022-03-19,Groceries,487,6,v1
S001,2022-03-19,Toys,333,4,v1
S001,2022-03-19,all,1687,20,v1
S001,2022-03-20,Clothing,448,3,v1
S001,2022-03-20,Electronics,332,3,v1
S001,2022-03-20,Furniture,233,4,v1
S001,2022-03-20,Groceries,698,6,v1
S001,2022-03-20,Toys,442,4,v1
S001,2022-03-20,all,2153,20,v1
S001,2022-03-21,Clothing,298,3,v1
S001,2022-03-21,Electronics,200,3,v1
S001,2022-03-21,Furniture,303,4,v1
S001,2022-03-21,Groceries,727,6,v1
S001,2022-03-21,Toys,365,4,v1
S001,2022-03-21,all,1893,20,v1
S001,2022-03-22,Clothing,182,3,v1
S001,2022-03-22,Electronics,276,3,v1
S001,2022-03-22,Furniture,310,4,v1
S001,2022-03-22,Groceries,402,6,v1
S001,2022-03-22,Toys,316,4,v1
S001,2022-03-22,all,1486,20,v1
S001,2022-03-23,Clothing,295,3,v1
S001,2022-03-23,Electronics,162,3,v1
S001,2022-03-23,Furniture,343,4,v1
S001,2022-03-23,Groceries,553,6,v1
S001,2022-03-23,Toys,631,4,v1
S001,2022-03-23,all,1984,20,v1
S001,2022-03-24,Clothing,285,3,v1
S001,2022-03-24,Electronics,213,3,v1
S001,2022-03-24,Furniture,311,4,v1
S001,2022-03-24,Groceries,645,6,v1
S001,2022-03-24,Toys,577,4,v1
S001,2022-03-24,all,2031,20,v1
S001,2022-03-25,Clothing,356,3,v1
S001,2022-03-25,Electronics,288,3,v1
S001,2022-03-25,Furniture,452,4,v1
S001,2022-03-25,Groceries,708,6,v1
S001,2022-03-25,Toys,478,4,v1
S001,2022-03-25,all,2282,20,v1
S001,2022-03-26,Clothing,365,3,v1
S001,2022-03-26,Electronics,263,3,v1
S001,2022-03-26,Furniture,281,4,v1
S001,2022-03-26,Groceries,442,6,v1
S001,2022-03-26,Toys,440,4,v1
S001,2022-03-26,all,1791,20,v1
S001,2022-03-27,Clothing,309,3,v1
S001,2022-03-27,Electronics,377,3,v1
S001,2022-03-27,Furniture,437,4,v1
S001,2022-03-27,Groceries,846,6,v1
S001,2022-03-27,Toys,523,4,v1
S001,2022-03-27,all,2492,20,v1
S001,2022-03-28,Clothing,262,3,v1
S001,2022-03-28,Electronics,244,3,v1
S001,2022-03-28,Furniture,255,4,v1
S001,2022-03-28,Groceries,708,6,v1
S001,2022-03-28,Toys,303,4,v1
S001,2022-03-28,all,1772,20,v1
S001,2022-03-29,Clothing,326,3,v1
S001,2022-03-29,Electronics,338,3,v1
S001,2022-03-29,Furniture,270,4,v1
S001,2022-03-29,Groceries,422,6,v1
S001,2022-03-29,Toys,470,4,v1
S001,2022-03-29,all,1826,20,v1
S001,2022-03-30,Clothing,370,3,v1
S001,2022-03-30,Electronics,266,3,v1
S001,2022-03-30,Furniture,305,4,v1
S001,2022-03-30,Groceries,548,6,v1
S001,2022-03-30,Toys,345,4,v1
S001,2022-03-30,all,1834,20,v1
S001,2022-03-31,Clothing,235,3,v1
S001,2022-03-31,Electronics,293,3,v1
S001,2022-03-31,Furniture,216,4,v1
S001,2022-03-31,Groceries,626,6,v1
S001,2022-03-31,Toys,431,4,v1
S001,2022-03-31,all,1801,20,v1
S001,2022-04-01,Clothing,305,3,v1
S001,2022-04-01,Electronics,286,3,v1
S001,2022-04-01,Furniture,339,4,v1
S001,2022-04-01,Groceries,861,6,v1
S001,2022-04-01,Toys,411,4,v1
S001,2022-04-01,all,2202,20,v1
S001,2022-04-02,Clothing,265,3,v1
S001,2022-04-02,Electronics,208,3,v1
S001,2022-04-02,Furniture,281,4,v1
S001,2022-04-02,Groceries,649,6,v1
S001,2022-04-02,Toys,464,4,v1
S001,2022-04-02,all,1867,20,v1
S001,2022-04-03,Clothing,311,3,v1
S001,2022-04-03,Electronics,253,3,v1
S001,2022-04-03,Furniture,319,4,v1
S001,2022-04-03,Groceries,529,6,v1
S001,2022-04-03,Toys,514,4,v1
S001,2022-04-03,all,1926,20,v1
S001,2022-04-04,Clothing,354,3,v1
S001,2022-04-04,Electronics,185,3,v1
S001,2022-04-04,Furniture,176,4,v1
S001,2022-04-04,Groceries,711,6,v1
S001,2022-04-04,Toys,326,4,v1
S001,2022-04-04,all,1752,20,v1
S001,2022-04-05,Clothing,234,3,v1
S001,2022-04-05,Electronics,223,3,v1
S001,2022-04-05,Furniture,297,4,v1
S001,2022-04-05,Groceries,703,6,v1
S001,2022-04-05,Toys,389,4,v1
S001,2022-04-05,all,1846,20,v1
S001,2022-04-06,Clothing,278,3,v1
S001,2022-04-06,Electronics,378,3,v1
S001,2022-04-06,Furniture,303,4,v1
S001,2022-04-06,Groceries,675,6,v1
S001,2022-04-06,Toys,460,4,v1
S001,2022-04-06,all,2094,20,v1
S001,2022-04-07,Clothing,491,3,v1
S001,2022-04-07,Electronics,231,3,v1
S001,2022-04-07,Furniture,424,4,v1
S001,2022-04-07,Groceries,859,6,v1
S001,2022-04-07,Toys,478,4,v1
S001,2022-04-07,all,2483,20,v1
S001,2022-04-08,Clothing,262,3,v1
S001,2022-04-08,Electronics,270,3,v1
S001,2022-04-08,Furniture,341,4,v1
S001,2022-04-08,Groceries,663,6,v1
S001,2022-04-08,Toys,358,4,v1
S001,2022-04-08,all,1894,20,v1
S001,2022-04-09,Clothing,324,3,v1
S001,2022-04-09,Electronics,207,3,v1
S001,2022-04-09,Furniture,182,4,v1
S001,2022-04-09,Groceries,625,6,v1
S001,2022-04-09,Toys,442,4,v1
S001,2022-04-09,all,1780,20,v1
S001,2022-04-10,Clothing,351,3,v1
S001,2022-04-10,Electronics,214,3,v1
S001,2022-04-10,Furniture,283,4,v1
S001,2022-04-10,Groceries,583,6,v1
S001,2022-04-10,Toys,397,4,v1
S001,2022-04-10,all,1828,20,v1
S001,2022-04-11,Clothing,321,3,v1
S001,2022-04-11,Electronics,288,3,v1
S001,2022-04-11,Furniture,309,4,v1
S001,2022-04-11,Groceries,796,6,v1
S001,2022-04-11,Toys,395,4,v1
S001,2022-04-11,all,2109,20,v1
S001,2022-04-12,Clothing,365,3,v1
S001,2022-04-12,Electronics,231,3,v1
S001,2022-04-12,Furniture,364,4,v1
S001,2022-04-12,Groceries,540,6,v1
S001,2022-04-12,Toys,511,4,v1
S001,2022-04-12,all,2011,20,v1
S001,2022-04-13,Clothing,465,3,v1
S001,2022-04-13,Electronics,312,3,v1
S001,2022-04-13,Furniture,232,4,v1
S001,2022-04-13,Groceries,658,6,v1
S001,2022-04-13,Toys,372,4,v1
S001,2022-04-13,all,2039,20,v1
S001,2022-04-14,Clothing,317,3,v1
S001,2022-04-14,Electronics,353,3,v1
S001,2022-04-14,Furniture,439,4,v1
S001,2022-04-14,Groceries,471,6,v1
S001,2022-04-14,Toys,355,4,v1
S001,2022-04-14,all,1935,20,v1
S001,2022-04-15,Clothing,299,3,v1
S001,2022-04-15,Electronics,274,3,v1
S001,2022-04-15,Furniture,300,4,v1
S001,2022-04-15,Groceries,752,6,v1
S001,2022-04-15,Toys,447,4,v1
S001,2022-04-15,all,2072,20,v1
S001,2022-04-16,Clothing,330,3,v1
S001,2022-04-16,Electronics,261,3,v1
S001,2022-04-16,Furniture,262,4,v1
S001,2022-04-16,Groceries,525,6,v1
S001,2022-04-16,Toys,257,4,v1
S001,2022-04-16,all,1635,20,v1
S001,2022-04-17,Clothing,425,3,v1
S001,2022-04-17,Electronics,361,3,v1
S001,2022-04-17,Furniture,350,4,v1
S001,2022-04-17,Groceries,499,6,v1
S001,2022-04-17,Toys,395,4,v1
S001,2022-04-17,all,2030,20,v1
S001,2022-04-18,Clothing,299,3,v1
S001,2022-04-18,Electronics,254,3,v1
S001,2022-04-18,Furniture,296,4,v1
S001,2022-04-18,Groceries,665,6,v1
S001,2022-04-18,Toys,586,4,v1
S001,2022-04-18,all,2100,20,v1
