date,store_id,product_id,category,opening_inventory,units_sold,units_ordered,closing_inventory,is_observed,data_version
2022-03-27,S001,P0001,Electronics,306,111,0,195,True,v1
2022-03-28,S001,P0001,Electronics,195,65,119,130,True,v1
2022-03-29,S001,P0001,Electronics,130,130,342,0,True,v1
2022-03-30,S001,P0001,Electronics,119,73,0,46,True,v1
2022-03-31,S001,P0001,Electronics,388,121,0,267,True,v1
2022-04-01,S001,P0001,Electronics,267,59,0,208,True,v1
2022-04-02,S001,P0001,Electronics,208,111,200,97,True,v1
2022-04-03,S001,P0001,Electronics,97,97,321,0,True,v1
2022-04-04,S001,P0001,Electronics,200,89,0,111,True,v1
2022-04-05,S001,P0001,Electronics,432,79,0,353,True,v1
2022-04-06,S001,P0001,Electronics,353,65,0,288,True,v1
2022-04-07,S001,P0001,Electronics,288,71,0,217,True,v1
2022-04-08,S001,P0001,Electronics,217,69,264,148,True,v1
2022-04-09,S001,P0001,Electronics,148,43,0,105,True,v1
2022-04-10,S001,P0001,Electronics,369,131,333,238,True,v1
2022-04-11,S001,P0001,Electronics,238,143,0,95,True,v1
2022-04-12,S001,P0001,Electronics,428,132,308,296,True,v1
2022-04-13,S001,P0001,Electronics,296,84,0,212,True,v1
2022-04-14,S001,P0001,Electronics,520,106,0,414,True,v1
2022-04-15,S001,P0001,Electronics,414,132,328,282,True,v1
2022-04-16,S001,P0001,Electronics,282,93,0,189,True,v1
2022-04-17,S001,P0001,Electronics,517,105,0,412,True,v1
2022-04-18,S001,P0001,Electronics,412,68,0,344,True,v1
2022-04-19,S001,P0001,Electronics,344,62,0,282,True,v1
2022-04-20,S001,P0001,Electronics,282,116,191,166,True,v1
2022-04-21,S001,P0001,Electronics,166,84,0,82,True,v1
2022-04-22,S001,P0001,Electronics,273,59,0,214,True,v1
2022-04-23,S001,P0001,Electronics,214,35,0,179,True,v1
2022-04-24,S001,P0001,Electronics,179,30,0,149,True,v1
2022-04-25,S001,P0001,Electronics,149,66,106,83,True,v1
2022-04-26,S001,P0001,Electronics,83,40,119,43,True,v1
2022-04-27,S001,P0001,Electronics,149,66,0,83,True,v1
2022-04-28,S001,P0001,Electronics,202,62,132,140,True,v1
2022-04-29,S001,P0001,Electronics,140,42,0,98,True,v1
2022-04-30,S001,P0001,Electronics,230,29,0,201,True,v1
2022-05-01,S001,P0001,Electronics,201,49,0,152,True,v1
2022-05-02,S001,P0001,Electronics,152,24,0,128,True,v1
2022-05-03,S001,P0001,Electronics,128,43,119,85,True,v1
2022-05-04,S001,P0001,Electronics,85,64,142,21,True,v1
2022-05-05,S001,P0001,Electronics,140,70,0,70,True,v1
2022-05-06,S001,P0001,Electronics,212,35,0,177,True,v1
2022-05-07,S001,P0001,Electronics,177,60,125,117,True,v1
2022-05-08,S001,P0001,Electronics,117,49,0,68,True,v1
2022-05-09,S001,P0001,Electronics,193,58,157,135,True,v1
2022-05-10,S001,P0001,Electronics,135,29,0,106,True,v1
2022-05-11,S001,P0001,Electronics,263,31,0,232,True,v1
2022-05-12,S001,P0001,Electronics,232,44,0,188,True,v1
2022-05-13,S001,P0001,Electronics,188,53,156,135,True,v1
2022-05-14,S001,P0001,Electronics,135,36,0,99,True,v1
2022-05-15,S001,P0001,Electronics,255,53,0,202,True,v1
2022-05-16,S001,P0001,Electronics,202,67,140,135,True,v1
2022-05-17,S001,P0001,Electronics,135,85,0,50,True,v1
2022-05-18,S001,P0001,Electronics,190,46,0,144,True,v1
2022-05-19,S001,P0001,Electronics,144,60,109,84,True,v1
2022-05-20,S001,P0001,Electronics,84,42,0,42,True,v1
2022-05-21,S001,P0001,Electronics,151,81,199,70,True,v1
2022-05-22,S001,P0001,Electronics,70,70,207,0,True,v1
2022-05-23,S001,P0001,Electronics,199,48,0,151,True,v1
2022-05-24,S001,P0001,Electronics,358,19,0,339,True,v1
2022-05-25,S001,P0001,Electronics,339,36,0,303,True,v1
2022-05-26,S001,P0001,Electronics,303,72,0,231,True,v1
2022-05-27,S001,P0001,Electronics,231,50,0,181,True,v1
2022-05-28,S001,P0001,Electronics,181,86,237,95,True,v1
2022-05-29,S001,P0001,Electronics,95,95,0,0,True,v1
2022-05-30,S001,P0001,Electronics,237,57,217,180,True,v1
2022-05-31,S001,P0001,Electronics,180,82,0,98,True,v1
2022-06-01,S001,P0001,Electronics,315,145,278,170,True,v1
2022-06-02,S001,P0001,Electronics,170,93,0,77,True,v1
2022-06-03,S001,P0001,Electronics,355,44,0,311,True,v1
2022-06-04,S001,P0001,Electronics,311,34,0,277,True,v1
2022-06-05,S001,P0001,Electronics,277,45,0,232,True,v1
2022-06-06,S001,P0001,Electronics,232,107,227,125,True,v1
2022-06-07,S001,P0001,Electronics,125,55,0,70,True,v1
2022-06-08,S001,P0001,Electronics,297,134,270,163,True,v1
2022-06-09,S001,P0001,Electronics,163,74,0,89,True,v1
2022-06-10,S001,P0001,Electronics,359,67,0,292,True,v1
2022-06-11,S001,P0001,Electronics,292,100,256,192,True,v1
2022-06-12,S001,P0001,Electronics,192,138,0,54,True,v1
2022-06-13,S001,P0001,Electronics,310,52,0,258,True,v1
2022-06-14,S001,P0001,Electronics,258,126,225,132,True,v1
2022-06-15,S001,P0001,Electronics,132,82,0,50,True,v1
2022-06-16,S001,P0001,Electronics,275,42,0,233,True,v1
2022-06-17,S001,P0001,Electronics,233,113,220,120,True,v1
2022-06-18,S001,P0001,Electronics,120,120,302,0,True,v1
2022-06-19,S001,P0001,Electronics,220,123,0,97,True,v1
2022-06-20,S001,P0001,Electronics,399,69,0,330,True,v1
2022-06-21,S001,P0001,Electronics,330,126,0,204,True,v1
2022-06-22,S001,P0001,Electronics,204,63,216,141,True,v1
2022-06-23,S001,P0001,Electronics,141,44,0,97,True,v1
2022-06-24,S001,P0001,Electronics,313,56,0,257,True,v1
2022-06-25,S001,P0001,Electronics,257,58,0,199,True,v1
2022-06-26,S001,P0001,Electronics,199,110,193,89,True,v1
2022-06-27,S001,P0001,Electronics,89,62,0,27,True,v1
2022-06-28,S001,P0001,Electronics,220,96,203,124,True,v1
2022-06-29,S001,P0001,Electronics,124,27,0,97,True,v1
2022-06-30,S001,P0001,Electronics,300,39,0,261,True,v1
2022-07-01,S001,P0001,Electronics,261,45,0,216,True,v1
2022-07-02,S001,P0001,Electronics,216,27,0,189,True,v1
2022-07-03,S001,P0001,Electronics,189,48,145,141,True,v1
2022-07-04,S001,P0001,Electronics,141,29,0,112,True,v1
2022-07-05,S001,P0001,Electronics,257,35,0,222,True,v1
2022-07-06,S001,P0001,Electronics,222,37,0,185,True,v1
2022-07-07,S001,P0001,Electronics,185,46,128,139,True,v1
2022-07-08,S001,P0001,Electronics,139,22,0,117,True,v1
2022-07-09,S001,P0001,Electronics,245,33,0,212,True,v1
2022-07-10,S001,P0001,Electronics,212,42,0,170,True,v1
2022-07-11,S001,P0001,Electronics,170,15,0,155,True,v1
2022-07-12,S001,P0001,Electronics,155,32,73,123,True,v1
2022-07-13,S001,P0001,Electronics,123,20,0,103,True,v1
2022-07-14,S001,P0001,Electronics,176,52,154,124,True,v1
2022-07-15,S001,P0001,Electronics,124,29,0,95,True,v1
2022-07-16,S001,P0001,Electronics,249,86,226,163,True,v1
2022-07-17,S001,P0001,Electronics,163,50,0,113,True,v1
2022-07-18,S001,P0001,Electronics,339,39,0,300,True,v1
2022-07-19,S001,P0001,Electronics,300,47,0,253,True,v1
2022-07-20,S001,P0001,Electronics,253,65,0,188,True,v1
2022-07-21,S001,P0001,Electronics,188,39,0,149,True,v1
2022-07-22,S001,P0001,Electronics,149,85,263,64,True,v1
2022-07-23,S001,P0001,Electronics,64,64,0,0,True,v1
2022-07-24,S001,P0001,Electronics,263,38,0,225,True,v1
2022-07-25,S001,P0001,Electronics,225,64,129,161,True,v1
2022-07-26,S001,P0001,Electronics,161,95,231,66,True,v1
2022-07-27,S001,P0001,Electronics,195,116,0,79,True,v1
2022-07-28,S001,P0001,Electronics,310,72,0,238,True,v1
2022-07-29,S001,P0001,Electronics,238,83,299,155,True,v1
2022-07-30,S001,P0001,Electronics,155,72,0,83,True,v1
2022-07-31,S001,P0001,Electronics,382,132,0,250,True,v1
2022-08-01,S001,P0001,Electronics,250,117,245,133,True,v1
2022-08-02,S001,P0001,Electronics,133,53,0,80,True,v1
2022-08-03,S001,P0001,Electronics,325,146,257,179,True,v1
2022-08-04,S001,P0001,Electronics,179,158,0,21,True,v1
2022-08-05,S001,P0001,Electronics,278,40,0,238,True,v1
2022-08-06,S001,P0001,Electronics,238,41,0,197,True,v1
2022-08-07,S001,P0001,Electronics,197,92,204,105,True,v1
2022-08-08,S001,P0001,Electronics,105,86,247,19,True,v1
2022-08-09,S001,P0001,Electronics,223,47,0,176,True,v1
2022-08-10,S001,P0001,Electronics,423,35,0,388,True,v1
2022-08-11,S001,P0001,Electronics,388,76,0,312,True,v1
2022-08-12,S001,P0001,Electronics,312,118,292,194,True,v1
2022-08-13,S001,P0001,Electronics,194,67,0,127,True,v1
2022-08-14,S001,P0001,Electronics,419,103,0,316,True,v1
2022-08-15,S001,P0001,Electronics,316,107,0,209,True,v1
2022-08-16,S001,P0001,Electronics,209,97,337,112,True,v1
2022-08-17,S001,P0001,Electronics,112,54,0,58,True,v1
2022-08-18,S001,P0001,Electronics,395,93,0,302,True,v1
2022-08-19,S001,P0001,Electronics,302,83,0,219,True,v1
2022-08-20,S001,P0001,Electronics,219,85,215,134,True,v1
2022-08-21,S001,P0001,Electronics,134,105,0,29,True,v1
2022-08-22,S001,P0001,Electronics,244,91,202,153,True,v1
2022-08-23,S001,P0001,Electronics,153,144,291,9,True,v1
2022-08-24,S001,P0001,Electronics,211,48,0,163,True,v1
2022-08-25,S001,P0001,Electronics,454,174,0,280,True,v1
2022-08-26,S001,P0001,Electronics,280,60,0,220,True,v1
2022-08-27,S001,P0001,Electronics,220,79,213,141,True,v1
2022-08-28,S001,P0001,Electronics,141,57,0,84,True,v1
2022-08-29,S001,P0001,Electronics,297,122,236,175,True,v1
2022-08-30,S001,P0001,Electronics,175,83,0,92,True,v1
2022-08-31,S001,P0001,Electronics,328,90,0,238,True,v1
2022-09-01,S001,P0001,Electronics,238,44,0,194,True,v1
2022-09-02,S001,P0001,Electronics,194,50,105,144,True,v1
2022-09-03,S001,P0001,Electronics,144,139,213,5,True,v1
2022-09-04,S001,P0001,Electronics,110,62,0,48,True,v1
2022-09-05,S001,P0001,Electronics,261,59,0,202,True,v1
2022-09-06,S001,P0001,Electronics,202,71,196,131,True,v1
2022-09-07,S001,P0001,Electronics,131,83,0,48,True,v1
2022-09-08,S001,P0001,Electronics,244,60,176,184,True,v1
2022-09-09,S001,P0001,Electronics,184,67,0,117,True,v1
2022-09-10,S001,P0001,Electronics,293,135,216,158,True,v1
2022-09-11,S001,P0001,Electronics,158,99,0,59,True,v1
2022-09-12,S001,P0001,Electronics,275,88,0,187,True,v1
2022-09-13,S001,P0001,Electronics,187,86,216,101,True,v1
2022-09-14,S001,P0001,Electronics,101,101,365,0,True,v1
2022-09-15,S001,P0001,Electronics,216,106,0,110,True,v1
2022-09-16,S001,P0001,Electronics,475,102,0,373,True,v1
2022-09-17,S001,P0001,Electronics,373,73,0,300,True,v1
2022-09-18,S001,P0001,Electronics,300,144,351,156,True,v1
2022-09-19,S001,P0001,Electronics,156,68,0,88,True,v1
2022-09-20,S001,P0001,Electronics,439,83,0,356,True,v1
2022-09-21,S001,P0001,Electronics,356,140,0,216,True,v1
2022-09-22,S001,P0001,Electronics,216,74,207,142,True,v1
2022-09-23,S001,P0001,Electronics,142,41,0,101,True,v1
2022-09-24,S001,P0001,Electronics,308,119,220,189,True,v1
2022-09-25,S001,P0001,Electronics,189,80,0,109,True,v1
2022-09-26,S001,P0001,Electronics,329,102,344,227,True,v1
2022-09-27,S001,P0001,Electronics,227,72,0,155,True,v1
2022-09-28,S001,P0001,Electronics,499,43,0,456,True,v1
2022-09-29,S001,P0001,Electronics,456,64,0,392,True,v1
2022-09-30,S001,P0001,Electronics,392,60,0,332,True,v1
2022-10-01,S001,P0001,Electronics,332,53,0,279,True,v1
2022-10-02,S001,P0001,Electronics,279,119,244,160,True,v1
2022-10-03,S001,P0001,Electronics,160,63,0,97,True,v1
2022-10-04,S001,P0001,Electronics,341,86,0,255,True,v1
2022-10-05,S001,P0001,Electronics,255,100,187,155,True,v1
2022-10-06,S001,P0001,Electronics,155,82,0,73,True,v1
2022-10-07,S001,P0001,Electronics,260,94,214,166,True,v1
2022-10-08,S001,P0001,Electronics,166,119,0,47,True,v1
2022-10-09,S001,P0001,Electronics,261,48,0,213,True,v1
2022-10-10,S001,P0001,Electronics,213,98,277,115,True,v1
2022-10-11,S001,P0001,Electronics,115,24,0,91,True,v1
2022-10-12,S001,P0001,Electronics,368,91,0,277,True,v1
2022-10-13,S001,P0001,Electronics,277,75,0,202,True,v1
2022-10-14,S001,P0001,Electronics,202,115,166,87,True,v1
2022-10-15,S001,P0001,Electronics,87,50,0,37,True,v1
2022-10-16,S001,P0001,Electronics,203,78,184,125,True,v1
2022-10-17,S001,P0001,Electronics,125,77,253,48,True,v1
2022-10-18,S001,P0001,Electronics,232,70,0,162,True,v1
2022-10-19,S001,P0001,Electronics,415,95,0,320,True,v1
2022-10-20,S001,P0001,Electronics,320,41,0,279,True,v1
2022-10-21,S001,P0001,Electronics,279,64,0,215,True,v1
2022-10-22,S001,P0001,Electronics,215,91,196,124,True,v1
2022-10-23,S001,P0001,Electronics,124,124,336,0,True,v1
2022-10-24,S001,P0001,Electronics,196,119,0,77,True,v1
2022-10-25,S001,P0001,Electronics,413,49,0,364,True,v1
2022-10-26,S001,P0001,Electronics,364,75,0,289,True,v1
2022-10-27,S001,P0001,Electronics,289,105,301,184,True,v1
2022-10-28,S001,P0001,Electronics,184,114,0,70,True,v1
2022-10-29,S001,P0001,Electronics,371,68,0,303,True,v1
2022-10-30,S001,P0001,Electronics,303,106,0,197,True,v1
2022-10-31,S001,P0001,Electronics,197,137,258,60,True,v1
2022-11-01,S001,P0001,Electronics,60,60,0,0,True,v1
2022-11-02,S001,P0001,Electronics,258,55,0,203,True,v1
2022-11-03,S001,P0001,Electronics,203,112,248,91,True,v1
2022-11-04,S001,P0001,Electronics,91,76,0,15,True,v1
2022-11-05,S001,P0001,Electronics,263,163,250,100,True,v1
2022-11-06,S001,P0001,Electronics,100,100,0,0,True,v1
2022-11-07,S001,P0001,Electronics,250,77,0,173,True,v1
2022-11-08,S001,P0001,Electronics,173,120,259,53,True,v1
2022-11-09,S001,P0001,Electronics,53,53,204,0,True,v1
2022-11-10,S001,P0001,Electronics,259,86,0,173,True,v1
2022-11-11,S001,P0001,Electronics,377,62,0,315,True,v1
2022-11-12,S001,P0001,Electronics,315,116,299,199,True,v1
2022-11-13,S001,P0001,Electronics,199,68,0,131,True,v1
2022-11-14,S001,P0001,Electronics,430,51,0,379,True,v1
2022-11-15,S001,P0001,Electronics,379,91,0,288,True,v1
2022-11-16,S001,P0001,Electronics,288,60,0,228,True,v1
2022-11-17,S001,P0001,Electronics,228,127,187,101,True,v1
2022-11-18,S001,P0001,Electronics,101,66,230,35,True,v1
2022-11-19,S001,P0001,Electronics,222,114,0,108,True,v1
2022-11-20,S001,P0001,Electronics,338,41,0,297,True,v1
2022-11-21,S001,P0001,Electronics,297,75,0,222,True,v1
2022-11-22,S001,P0001,Electronics,222,52,0,170,True,v1
2022-11-23,S001,P0001,Electronics,170,105,263,65,True,v1
2022-11-24,S001,P0001,Electronics,65,65,0,0,True,v1
2022-11-25,S001,P0001,Electronics,263,100,229,163,True,v1
2022-11-26,S001,P0001,Electronics,163,75,0,88,True,v1
2022-11-27,S001,P0001,Electronics,317,75,276,242,True,v1
2022-11-28,S001,P0001,Electronics,242,31,0,211,True,v1
2022-11-29,S001,P0001,Electronics,487,30,0,457,True,v1
2022-11-30,S001,P0001,Electronics,457,64,0,393,True,v1
2022-12-01,S001,P0001,Electronics,393,34,0,359,True,v1
2022-12-02,S001,P0001,Electronics,359,80,0,279,True,v1
2022-12-03,S001,P0001,Electronics,279,28,0,251,True,v1
2022-12-04,S001,P0001,Electronics,251,72,199,179,True,v1
2022-12-05,S001,P0001,Electronics,179,66,0,113,True,v1
2022-12-06,S001,P0001,Electronics,312,108,217,204,True,v1
2022-12-07,S001,P0001,Electronics,204,40,0,164,True,v1
2022-12-08,S001,P0001,Electronics,381,61,0,320,True,v1
2022-12-09,S001,P0001,Electronics,320,165,329,155,True,v1
2022-12-10,S001,P0001,Electronics,155,108,0,47,True,v1
2022-12-11,S001,P0001,Electronics,376,93,0,283,True,v1
2022-12-12,S001,P0001,Electronics,283,95,194,188,True,v1
2022-12-13,S001,P0001,Electronics,188,31,0,157,True,v1
2022-12-14,S001,P0001,Electronics,351,97,0,254,True,v1
2022-12-15,S001,P0001,Electronics,254,89,268,165,True,v1
2022-12-16,S001,P0001,Electronics,165,59,0,106,True,v1
2022-12-17,S001,P0001,Electronics,374,113,0,261,True,v1
2022-12-18,S001,P0001,Electronics,261,134,269,127,True,v1
2022-12-19,S001,P0001,Electronics,127,112,0,15,True,v1
2022-12-20,S001,P0001,Electronics,284,111,200,173,True,v1
2022-12-21,S001,P0001,Electronics,173,75,0,98,True,v1
2022-12-22,S001,P0001,Electronics,298,96,251,202,True,v1
2022-12-23,S001,P0001,Electronics,202,37,0,165,True,v1
2022-12-24,S001,P0001,Electronics,416,108,285,308,True,v1
2022-12-25,S001,P0001,Electronics,308,131,0,177,True,v1
2022-12-26,S001,P0001,Electronics,462,196,344,266,True,v1
2022-12-27,S001,P0001,Electronics,266,117,0,149,True,v1
2022-12-28,S001,P0001,Electronics,493,137,0,356,True,v1
2022-12-29,S001,P0001,Electronics,356,110,0,246,True,v1
2022-12-30,S001,P0001,Electronics,246,84,189,162,True,v1
2022-12-31,S001,P0001,Electronics,162,63,0,99,True,v1
2023-01-01,S001,P0001,Electronics,288,76,278,212,True,v1
2023-01-02,S001,P0001,Electronics,212,129,0,83,True,v1
2023-01-03,S001,P0001,Electronics,361,98,0,263,True,v1
2023-01-04,S001,P0001,Electronics,263,40,0,223,True,v1
2023-01-05,S001,P0001,Electronics,223,61,0,162,True,v1
2023-01-06,S001,P0001,Electronics,162,95,240,67,True,v1
2023-01-07,S001,P0001,Electronics,67,67,231,0,True,v1
2023-01-08,S001,P0001,Electronics,240,87,0,153,True,v1
2023-01-09,S001,P0001,Electronics,384,63,0,321,True,v1
2023-01-10,S001,P0001,Electronics,321,63,0,258,True,v1
2023-01-11,S001,P0001,Electronics,258,135,194,123,True,v1
2023-01-12,S001,P0001,Electronics,123,115,0,8,True,v1
2023-01-13,S001,P0001,Electronics,202,104,216,98,True,v1
2023-01-14,S001,P0001,Electronics,98,90,208,8,True,v1
2023-01-15,S001,P0001,Electronics,224,35,0,189,True,v1
2023-01-16,S001,P0001,Electronics,397,84,0,313,True,v1
2023-01-17,S001,P0001,Electronics,313,135,240,178,True,v1
2023-01-18,S001,P0001,Electronics,178,70,0,108,True,v1
2023-01-19,S001,P0001,Electronics,348,66,0,282,True,v1
2023-01-20,S001,P0001,Electronics,282,47,0,235,True,v1
2023-01-21,S001,P0001,Electronics,235,82,225,153,True,v1
2023-01-22,S001,P0001,Electronics,153,140,0,13,True,v1
2023-01-23,S001,P0001,Electronics,238,69,202,169,True,v1
2023-01-24,S001,P0001,Electronics,169,60,0,109,True,v1
2023-01-25,S001,P0001,Electronics,311,82,0,229,True,v1
2023-01-26,S001,P0001,Electronics,229,130,217,99,True,v1
2023-01-27,S001,P0001,Electronics,99,67,0,32,True,v1
2023-01-28,S001,P0001,Electronics,249,108,236,141,True,v1
2023-01-29,S001,P0001,Electronics,141,76,0,65,True,v1
2023-01-30,S001,P0001,Electronics,301,35,0,266,True,v1
2023-01-31,S001,P0001,Electronics,266,60,0,206,True,v1
2023-02-01,S001,P0001,Electronics,206,35,0,171,True,v1
2023-02-02,S001,P0001,Electronics,171,40,0,131,True,v1
2023-02-03,S001,P0001,Electronics,131,55,99,76,True,v1
2023-02-04,S001,P0001,Electronics,76,38,92,38,True,v1
2023-02-05,S001,P0001,Electronics,137,23,0,114,True,v1
2023-02-06,S001,P0001,Electronics,206,55,131,151,True,v1
2023-02-07,S001,P0001,Electronics,151,80,0,71,True,v1
2023-02-08,S001,P0001,Electronics,202,25,0,177,True,v1
2023-02-09,S001,P0001,Electronics,177,39,0,138,True,v1
2023-02-10,S001,P0001,Electronics,138,58,162,80,True,v1
2023-02-11,S001,P0001,Electronics,80,60,144,20,True,v1
2023-02-12,S001,P0001,Electronics,182,47,0,135,True,v1
2023-02-13,S001,P0001,Electronics,279,84,0,195,True,v1
2023-02-14,S001,P0001,Electronics,195,34,100,161,True,v1
2023-02-15,S001,P0001,Electronics,161,39,0,122,True,v1
2023-02-16,S001,P0001,Electronics,222,126,221,96,True,v1
2023-02-17,S001,P0001,Electronics,96,21,0,75,True,v1
2023-02-18,S001,P0001,Electronics,296,63,0,233,True,v1
2023-02-19,S001,P0001,Electronics,233,65,0,168,True,v1
2023-02-20,S001,P0001,Electronics,168,81,192,87,True,v1
2023-02-21,S001,P0001,Electronics,87,36,0,51,True,v1
2023-02-22,S001,P0001,Electronics,243,178,300,65,True,v1
2023-02-23,S001,P0001,Electronics,65,52,0,13,True,v1
2023-02-24,S001,P0001,Electronics,313,136,246,177,True,v1
2023-02-25,S001,P0001,Electronics,177,67,0,110,True,v1
2023-02-26,S001,P0001,Electronics,356,49,0,307,True,v1
2023-02-27,S001,P0001,Electronics,307,44,0,263,True,v1
2023-02-28,S001,P0001,Electronics,263,44,0,219,True,v1
2023-03-01,S001,P0001,Electronics,219,148,370,71,True,v1
2023-03-02,S001,P0001,Electronics,71,71,0,0,True,v1
2023-03-03,S001,P0001,Electronics,370,113,0,257,True,v1
2023-03-04,S001,P0001,Electronics,257,56,0,201,True,v1
2023-03-05,S001,P0001,Electronics,201,53,131,148,True,v1
2023-03-06,S001,P0001,Electronics,148,76,206,72,True,v1
2023-03-07,S001,P0001,Electronics,203,67,0,136,True,v1
2023-03-08,S001,P0001,Electronics,342,79,0,263,True,v1
2023-03-09,S001,P0001,Electronics,263,102,170,161,True,v1
2023-03-10,S001,P0001,Electronics,161,97,207,64,True,v1
