as_of_date,store_id,product_id,category,inventory_date,current_inventory,in_transit_inventory,lead_time_days,effective_lead_time_days,forecast_during_lead_time,forecast_7d_total,safety_stock,error_std,avg_daily_units_sold,coverage_days,inventory_status,suggested_replenishment,forecast_status,recommendation_status,message,data_version,model_version,calculated_at
2024-01-17,S001,P0002,Clothing,2024-01-17,105,0,0,1,72.5,505.8,74.8,32.081615819508016,96.68,1.1,critical,43,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0002,Clothing,2024-01-18,51,0,0,1,81.8,553.3,75.6,32.44758797724185,97.21,0.5,critical,107,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0002,Clothing,2024-01-19,145,0,0,1,70.9,524.5,74.1,31.797759787286612,97.01,1.5,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0002,Clothing,2024-01-20,6,0,0,1,80.2,559.9,74.6,32.014091295261956,97.38,0.1,critical,149,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0002,Clothing,2024-01-21,61,0,0,1,77.8,548.9,73.4,31.503069232868757,97.09,0.6,critical,91,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0002,Clothing,2024-01-22,61,0,0,1,79.0,561.3,73.2,31.420697793019528,97.93,0.6,critical,92,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0002,Clothing,2024-01-23,142,0,0,1,78.5,556.9,71.9,30.84318961680575,97.5,1.5,critical,9,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0002,Clothing,2024-01-24,7,0,0,1,87.1,591.0,72.3,31.040525420206798,97.56,0.1,critical,153,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0002,Clothing,2024-01-25,67,0,0,1,82.7,568.4,71.8,30.79550621620761,97.88,0.7,critical,88,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0002,Clothing,2024-01-26,0,0,0,1,79.1,576.2,70.5,30.26953688121262,97.26,0.0,critical,150,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0002,Clothing,2024-01-27,78,0,0,1,77.0,543.8,73.1,31.37301939905779,97.06,0.8,critical,73,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-28,S001,P0002,Clothing,2024-01-28,111,0,0,1,80.2,559.5,73.1,31.37301939905779,97.21,1.1,critical,43,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-29,S001,P0002,Clothing,2024-01-29,69,0,0,1,71.6,498.5,73.1,31.37301939905779,96.93,0.7,critical,76,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-30,S001,P0002,Clothing,2024-01-30,59,0,0,1,73.5,491.2,73.1,31.37301939905779,96.96,0.6,critical,88,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0003,Clothing,2023-12-28,346,0,3,3,280.0,642.1,4.0,1.0,117.53,2.9,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0003,Clothing,2023-12-29,233,735,3,3,279.4,634.6,120.2,29.783324415311608,117.81,8.2,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0003,Clothing,2023-12-30,183,735,3,3,246.2,578.0,285.7,70.78438545410734,117.61,7.8,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0003,Clothing,2023-12-31,179,0,3,3,224.1,524.7,302.4,74.92477883820953,115.42,1.6,critical,348,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0003,Clothing,2024-01-01,792,0,3,3,237.7,558.3,290.7,72.03330856988693,116.08,6.8,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0003,Clothing,2024-01-02,646,0,3,3,275.9,631.8,266.6,66.04987982422038,116.58,5.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0003,Clothing,2024-01-03,499,0,3,3,284.3,661.8,246.7,61.123273030316135,116.69,4.3,normal,32,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0003,Clothing,2024-01-04,438,812,3,3,235.1,552.0,263.2,65.21973903858185,115.64,10.8,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0003,Clothing,2024-01-05,314,812,3,3,247.1,565.6,247.0,61.20672928202499,116.22,9.7,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0003,Clothing,2024-01-06,136,0,3,3,272.4,647.4,235.9,58.46404803216309,117.26,1.2,critical,373,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0003,Clothing,2024-01-07,830,0,3,3,295.9,697.3,247.8,61.412311843522666,117.86,7.0,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0003,Clothing,2024-01-08,757,0,3,3,279.5,657.6,237.4,58.83575103429746,117.38,6.4,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0003,Clothing,2024-01-09,725,0,3,3,261.2,597.2,231.3,57.316537112266225,116.01,6.2,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0003,Clothing,2024-01-10,598,0,3,3,261.6,598.8,222.4,55.10433243013503,116.68,5.1,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0003,Clothing,2024-01-11,466,0,3,3,266.5,618.6,214.4,53.12492142428908,117.64,4.0,low,15,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0003,Clothing,2024-01-12,356,658,3,3,269.1,616.0,208.8,51.73576242177237,118.22,8.6,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0003,Clothing,2024-01-13,247,658,3,3,244.8,590.4,203.0,50.30586445303684,118.73,7.6,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0003,Clothing,2024-01-14,169,0,3,3,239.6,568.0,197.8,49.011020907998905,118.8,1.4,critical,269,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0003,Clothing,2024-01-15,759,0,3,3,241.1,564.8,194.0,48.078143649334926,116.54,6.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0003,Clothing,2024-01-16,643,0,3,3,266.8,604.3,188.9,46.799008670399964,116.8,5.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0003,Clothing,2024-01-17,574,0,3,3,250.2,569.7,186.1,46.112854695243236,116.17,4.9,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0003,Clothing,2024-01-18,480,0,3,3,239.4,553.0,182.9,45.322593387456195,116.09,4.1,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0003,Clothing,2024-01-19,354,0,3,3,244.7,564.3,179.0,44.35420132453806,115.97,3.1,low,70,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0003,Clothing,2024-01-20,287,509,3,3,222.0,534.8,182.5,45.21534866133179,115.33,6.9,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0003,Clothing,2024-01-21,207,509,3,3,224.4,533.6,180.6,44.74344798570833,114.19,6.3,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0003,Clothing,2024-01-22,65,0,3,3,246.8,579.5,185.9,46.05846576855838,114.89,0.6,critical,368,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0003,Clothing,2024-01-23,514,842,3,3,244.4,553.4,212.6,52.692007623485715,113.83,11.9,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0003,Clothing,2024-01-24,343,842,3,3,268.5,613.2,210.3,52.12123618894897,114.97,10.3,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0003,Clothing,2024-01-25,107,0,3,3,293.1,688.8,209.7,51.973014131120905,116.98,0.9,critical,396,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0003,Clothing,2024-01-26,874,0,3,3,279.6,652.2,208.4,51.63710447684803,116.76,7.5,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0003,Clothing,2024-01-27,809,0,3,3,271.8,656.2,222.1,55.02735535566666,115.97,7.0,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-28,S001,P0003,Clothing,2024-01-28,656,0,3,3,301.1,703.7,222.1,55.02735535566666,116.91,5.6,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-29,S001,P0003,Clothing,2024-01-29,434,813,3,3,329.7,763.2,222.1,55.02735535566666,118.24,10.5,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-30,S001,P0003,Clothing,2024-01-30,283,813,3,3,347.0,786.5,222.1,55.02735535566666,118.66,9.2,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0004,Electronics,2023-12-28,305,0,1,1,54.2,387.0,2.3,1.0,78.62,3.9,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0004,Electronics,2023-12-29,269,0,1,1,51.6,351.7,7.3,3.116457413026958,78.02,3.4,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0004,Electronics,2023-12-30,228,0,1,1,52.1,340.8,18.0,7.704558435056415,77.54,2.9,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0004,Electronics,2023-12-31,190,0,1,1,47.6,332.3,14.7,6.31613726924873,76.81,2.5,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0004,Electronics,2024-01-01,169,0,1,1,37.8,268.6,15.0,6.448291071886968,76.58,2.2,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0004,Electronics,2024-01-02,138,0,1,1,37.0,254.9,15.8,6.797426738017534,75.7,1.8,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0004,Electronics,2024-01-03,106,0,1,1,39.5,249.2,43.0,18.442527120780184,75.48,1.4,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0004,Electronics,2024-01-04,96,0,1,1,31.5,225.8,40.3,17.302413219705635,74.41,1.3,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0004,Electronics,2024-01-05,33,0,1,1,30.8,218.8,42.5,18.221185210755895,74.42,0.4,critical,41,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0004,Electronics,2024-01-06,18,0,1,1,32.1,210.7,50.1,21.518380933486053,73.82,0.2,critical,65,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0004,Electronics,2024-01-07,101,0,1,1,29.5,205.7,48.6,20.87936789298972,73.81,1.4,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0004,Electronics,2024-01-08,39,0,1,1,31.4,216.6,74.9,32.142211316375516,74.06,0.5,critical,68,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0004,Electronics,2024-01-09,0,0,1,1,31.1,213.7,85.7,36.777059539003965,73.92,0.0,critical,117,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0004,Electronics,2024-01-10,29,0,1,1,38.3,256.5,91.4,39.234319880713166,74.71,0.4,critical,101,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0004,Electronics,2024-01-11,110,0,1,1,45.2,316.3,95.3,40.89152038434209,75.36,1.5,critical,31,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0004,Electronics,2024-01-12,3,0,1,1,46.7,355.3,96.2,41.290202259319294,76.01,0.0,critical,140,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0004,Electronics,2024-01-13,138,0,1,1,62.6,427.3,94.1,40.39941520428364,77.0,1.8,critical,19,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0004,Electronics,2024-01-14,24,0,1,1,60.8,447.2,94.1,40.40166667935453,77.68,0.3,critical,131,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0004,Electronics,2024-01-15,251,0,1,1,63.8,466.0,91.5,39.28343240458843,77.92,3.2,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0004,Electronics,2024-01-16,205,0,1,1,67.8,464.5,90.6,38.90443905086897,77.9,2.6,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0004,Electronics,2024-01-17,120,0,1,1,72.0,473.7,88.6,38.03648523177783,77.93,1.5,critical,41,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0004,Electronics,2024-01-18,0,0,1,1,72.8,497.0,89.1,38.221744091682744,77.99,0.0,critical,162,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0004,Electronics,2024-01-19,100,0,1,1,69.5,507.0,93.0,39.90647778760784,78.4,1.3,critical,63,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0004,Electronics,2024-01-20,316,0,1,1,75.0,533.3,91.0,39.060204735479196,79.41,4.0,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0004,Electronics,2024-01-21,154,0,1,1,77.7,560.6,96.9,41.58515998989384,80.64,1.9,critical,21,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0004,Electronics,2024-01-22,48,0,1,1,76.5,568.6,95.5,40.97053707602728,81.38,0.6,critical,124,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0004,Electronics,2024-01-23,291,0,1,1,80.0,559.3,96.1,41.247945770045035,80.48,3.6,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0004,Electronics,2024-01-24,203,0,1,1,84.8,555.9,95.7,41.09257042397815,81.19,2.5,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0004,Electronics,2024-01-25,146,0,1,1,81.1,550.5,94.0,40.35792719386275,80.71,1.8,critical,30,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0004,Electronics,2024-01-26,317,0,1,1,75.8,538.5,92.7,39.7788216596321,80.57,3.9,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0004,Electronics,2024-01-27,214,0,1,1,73.5,516.6,91.1,39.11028986028981,81.07,2.6,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-28,S001,P0004,Electronics,2024-01-28,138,0,1,1,61.9,462.4,91.1,39.11028986028981,81.4,1.7,critical,16,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-29,S001,P0004,Electronics,2024-01-29,53,0,1,1,56.5,447.3,91.1,39.11028986028981,81.74,0.6,critical,95,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
